Source,Target
Fadigati,Fadigati
Fadigati,Fadigati
Fadigati,Fadigati
Fadigati,via San Romano
Fadigati,Fadigati
Ferrara,Ferrara
Ferrara,Fadigati
Negozianti,Negozianti
Negozianti,Unione
Negozianti,Fadigati
Venezia,Venezia
Venezia,Biennale
Venezia,Firenze
Venezia,Maggio
Venezia,Berta
Venezia,Firenze
Venezia,Wagner
Venezia,Fadigati
Venezia,Bruno Walter
Venezia,Comunale fiorentino
Venezia,Fadigati
Venezia,maestro germanico
Venezia,Fadigati
Fadigati,Fadigati
Maria Grillanzoni,Maria Grillanzoni
Maria Grillanzoni,Fadigati
Fadigati,Fadigati
Fadigati,Manservigi
Fadigati,corso Roma
Fadigati,corso Giovecca
Fadigati,Montagnone
Fadigati,Trapolini
Fadigati,Fadigati
Fadigati,Baùsi
Fadigati,Olao Baùsi
Fadigati,Fadigati
Fadigati,duomo
Fadigati,Bach
Fadigati,Mozart
Fadigati,Beethoven
Fadigati,Wagner
Fadigati,Wagner
Fadigati,Manservigi
Fadigati,usciere Trapolini
Fadigati,Baùsi
Fadigati,dottore
Fadigati,via Gorgadello
Ferrara,Ferrara
Ferrara,Bologna
Ferrara,Ferrara
Corticella,Corticella
Corticella,stazione bolognese
Corticella,Ciano
Corticella,ministro delle Comunicazioni
Corticella,Ferrara
Corticella,Bologna
Corticella,Porta Galliera
Bologna,Bologna
Bologna,viale Cavour
Bologna,Eraldo Deliliers
Bologna,stazione
Bologna,Deliliers
Ferrara,Ferrara
Bologna,Bologna
Ferrara,Ferrara
Ferrara,colle di San Luca
Poggio Renatico,Poggio Renatico
Poggio Renatico,Galliera
Poggio Renatico,San Giorgio di Piano
Poggio Renatico,San Pietro in Casale
Poggio Renatico,Castelmaggiore
Poggio Renatico,Corticella
Poggio Renatico,Bologna
Ferrara,Ferrara
Ferrara,Bologna
Ferrara,Fadigati
Ferrara,Bologna
viale Cavour,viale Cavour
viale Cavour,Castello
viale Cavour,conduttore Aldrovandi
viale Cavour,viale Cavour
viale Cavour,stazione
Deliliers,Deliliers
Deliliers,mi
Deliliers,Deliliers
Deliliers,tipo
Deliliers,Fadigati
Fadigati,Fadigati
Fadigati,Bianca Sgarbi
Fadigati,sorelle Sgarbi
Fadigati,Attilia
Deliliers,Deliliers
Bianca Sgarbi,Bianca Sgarbi
Bianca Sgarbi,Nino Bottecchiari
Bianca Sgarbi,Malta
Bianca Sgarbi,Bianca
Deliliers,Deliliers
Nino Bottecchiari,Nino Bottecchiari
vecchio finocchio,vecchio finocchio
vecchio finocchio,Deliliers
San Giorgio di Piano,San Giorgio di Piano
San Giorgio di Piano,San Pietro in Casale
San Giorgio di Piano,Fadigati
San Giorgio di Piano,Ponza
San Giorgio di Piano,Tremiti
Poggio Renatico,Poggio Renatico
Mi,Mi
Mi,Bologna
Mi,io
Mi,mi
Mi,io
stazione,stazione
stazione,Mascarella
Fadigati,Fadigati
Fadigati,Mascarella
via Zamboni,via Zamboni
via Zamboni,via Indipendenza
via Zamboni,Deliliers
via Zamboni,stazione
via Zamboni,Nino Bottecchiari
via Zamboni,Bianca Sgarbi
via Zamboni,Bianca
via Zamboni,Sergio Pavani
via Zamboni,Otello Forti
via Zamboni,Giovannino Piazza
via Zamboni,Enrico Sangiuliano
via Zamboni,Vittorio Molon
via Zamboni,Bianca Sgarbi
via Zamboni,io
via Indipendenza,via Indipendenza
via Indipendenza,Fadigati
via Indipendenza,Nino Bottecchiari
via Indipendenza,Bianca Sgarbi
Fadigati,Fadigati
Nino,Nino
Nino,Bianca
Bianca,Bianca
Bianca,Bianca
Bianca,Nino
Bianca,piazza del Nettuno
Fadigati,Fadigati
Bologna,Bologna
via Gorgadello,via Gorgadello
Fadigati,Fadigati
Fadigati,Fadigati
Fadigati,Venezia
Fadigati,Padova
Padova,Padova
Padova,Ferrara
Padova,Bologna
Padova,Padova
Padova,Arslan
Padova,Venezia
Padova,Padova
Padova,Padova
Bianca,Bianca
Bianca,Fadigati
Venezia,Venezia
Venezia,papà
Venezia,mamma
Venezia,mamma
mamma,mamma
Vittorio Molon,Vittorio Molon
Vittorio Molon,Fratta Polesine
Vittorio Molon,Vittorio
Fadigati,Fadigati
Fadigati,Padova
Padova,Padova
Padova,Elsa Molon
Padova,signora Molon
Padova,via San Francesco
Padova,Padova
Padova,Padova
Bianca,Bianca
Scagnellato,Scagnellato
Scagnellato,chiesa di San Francesco
Scagnellato,Scagnellato
Scagnellato,Deliliers
Bianca,Bianca
Deliliers,Deliliers
Deliliers,Fadigati
Fadigati,Fadigati
Deliliers,Deliliers
Bianca,Bianca
Deliliers,Deliliers
Deliliers,Fadigati
Bianca,Bianca
Bologna,Bologna
Bologna,stazione
Bologna,Stella del Nord
Bologna,Strada Maggiore
Bologna,da Gigino
Bologna,due Torri
Bologna,alla Gallina Faraona
Bologna,San Vitale
Bologna,via Zamboni
San Pietro in Casale,San Pietro in Casale
San Pietro in Casale,stazione
Deliliers,Deliliers
Deliliers,Nino Bottecchiari
Deliliers,Nino
Deliliers,Deliliers
Nino,Nino
Nino,Venezia
Nino,Nino
Nino,Ridolini
Nino,Nino
Franco,Franco
Franco,Nino
Franco,Fadigati
Franco,Bianca
Franco,Nino
Fadigati,Fadigati
Fadigati,io
Fadigati,Nino
Nino Bottecchiari,Nino Bottecchiari
Nino Bottecchiari,Deliliers
Nino Bottecchiari,Imperia
